"","WELLNAME","EMULSION_MODEL","EMULSION_WCT","EMULSION_OCCURENCE","VISCOCITY_PUMP_CORRECTION","EXPERIMENTAL_PRES","EXPERIMENTAL_TEMP","MIN_WCT_FOR_MAX_VISC","MAX_WCT_FOR_MAX_VISC","P1","P2","P3","P4","P5","STD","POINTS_COUNT","MIN_WCT_IN_DATA","MAX_WCT_IN_DATA","MIN_VISCOSITY_IN_DATA","MAX_VISCOSITY_IN_DATA"
"COLUMN_LABELS","Имя_скважины","Модель_эмульсии","Обводненность_для_расчета_PVT_параметров","Место_образования_эмульсии","Поправка_на_вязкость_в_ЭЦН","Давление_эксперимента_исследования_эмульсии","Температура_эксперимента_исследования_эмульсии","Минимальная_обводненность_для_полки_вязкости_эмульсии","Максимальная_обводненность_для_полки_вязкости_эмульсии","Коэффициент_адаптации_P1","Коэффициент_адаптации_P2","Коэффициент_адаптации_P3","Коэффициент_адаптации_P4","Коэффициент_адаптации_P5","Стандартное_отклонение","Количество_лабораторных_точек","Минимальная_обводненность_экспериментов_эмульсии","Максимальная_обводненность_экспериментов_эмульсии","Минимальная_вязкость_экспериментов_эмульсии","Максимальная_вязкость_экспериментов_эмульсии"
"1-Tunj","1-Tunj","No","1.200000048","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1001_AR","1001_AR","No","89","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1003_AR","1003_AR","No","61.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1004_AR","1004_AR","No","94.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1009_AR","1009_AR","No","82.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1009_AR_FPZ","1009_AR_FPZ","No","79.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"100_URM_INJ","100_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1010_AR","1010_AR","No","93.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1011_AR","1011_AR","No","47.200000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1012_AR","1012_AR","No","85.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1013_AR","1013_AR","No","50.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1017_AR","1017_AR","No","5.900000095","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1019_AR","1019_AR","No","15.600000381","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"101_KULG","101_KULG","No","85","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"101_URM","101_URM","No","95.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"103_URM","103_URM","No","98.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"104_KULG","104_KULG","No","61","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"106_KULG","106_KULG","No","59.549999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"106_URM","106_URM","No","95.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"108_URM","108_URM","No","74.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"109_URM","109_URM","No","59","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1104_AR","1104_AR","No","42.5","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"110_URM","110_URM","No","76.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1124_AR_INJ","1124_AR_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"112_URM_INJ","112_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"114_URM","114_URM","No","86.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1179_AR","1179_AR","No","86","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1201_AR","1201_AR","No","86.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1202_AR","1202_AR","No","92.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1205_AR","1205_AR","No","66.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1206_AR","1206_AR","No","46.25","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1207_AR","1207_AR","No","45.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1208_AR","1208_AR","No","34.75","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"120G_URM","120G_URM","No","98.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1210_AR","1210_AR","No","85.349998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1212_AR","1212_AR","No","96.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1214_AR","1214_AR","No","90.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1216_AR","1216_AR","No","37.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"121G_URM","121G_URM","No","69.449996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1224_AR_NFW","1224_AR_NFW","No","51.299999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1226_AR","1226_AR","No","37.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1226_AR_NFW","1226_AR_NFW","No","44.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"122_URM","122_URM","No","95.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"123_URM","123_URM","No","","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"125_URM_INJ","125_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"126_URM","126_URM","No","95.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"127_URM","127_URM","No","96.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"128_URM","128_URM","No","63.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"129_URM","129_URM","No","96.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1303_AR","1303_AR","No","81","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1304_AR","1304_AR","No","96.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1307_AR","1307_AR","No","97.75","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1309_AR","1309_AR","No","89.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"130_URM","130_URM","No","65.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1310_AR","1310_AR","No","95.050003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1315_AR","1315_AR","No","90.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1316_AR","1316_AR","No","83.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"131_URM","131_URM","No","76.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1323_AR","1323_AR","No","88.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"132_URM","132_URM","No","91.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1331_AR","1331_AR","No","76.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1333_AR","1333_AR","No","86.949996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1340_AR","1340_AR","No","52","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1341_AR","1341_AR","No","89.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1342_AR","1342_AR","No","93.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1350_AR","1350_AR","No","78.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1351_AR","1351_AR","No","52.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"135_URM","135_URM","No","92.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"141_KLG","141_KLG","No","49.200000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"147_KLG","147_KLG","No","0","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"149_URM","149_URM","No","97","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"156_URM","156_URM","No","27","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1601_AR","1601_AR","No","72.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1604_AR","1604_AR","No","52.200000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1605_AR","1605_AR","No","81.449996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1606_AR","1606_AR","No","89.25","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1607_AR","1607_AR","No","77.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1608_AR","1608_AR","No","61.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1609_AR","1609_AR","No","93.349998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1610_AR","1610_AR","No","73.5","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1612_AR","1612_AR","No","59.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1615_AR","1615_AR","No","80","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1616_AR","1616_AR","No","69.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1617_AR","1617_AR","No","96.349998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1618_AR","1618_AR","No","70.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1901_AR","1901_AR","No","46.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1902_AR","1902_AR","No","25.399999619","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1903_AR","1903_AR","No","67.5","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1904_AR","1904_AR","No","55.299999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1904_AR_FON","1904_AR_FON","No","59.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1905_AR_PROJECT","1905_AR_PROJECT","No","91.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1906_AR","1906_AR","No","94.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1907_AR","1907_AR","No","84.050003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"1_SML","1_SML","No","97.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"200-Kulg","200-Kulg","No","94.25","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2003_AR","2003_AR","No","7.650000095","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2004_AR","2004_AR","No","5.099999905","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2005_AR","2005_AR","No","88.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2006_AR","2006_AR","No","49.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2007_AR","2007_AR","No","5.599999905","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2009_AR","2009_AR","No","51.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"200_URM","200_URM","No","","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2010_AR","2010_AR","No","11.050000191","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2011_AR","2011_AR","No","40.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2011_AR_FON","2011_AR_FON","No","11","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2012_AR","2012_AR","No","2.299999952","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"201_URM","201_URM","No","98.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"202-Kulg","202-Kulg","No","0.100000001","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2022_AR","2022_AR","No","6.800000191","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2023_AR","2023_AR","No","96.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"2027_AR","2027_AR","No","0.899999976","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"202_URM","202_URM","No","96.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"202_UTBG","202_UTBG","No","67.849998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"203_URM","203_URM","No","80","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"203_UTBG","203_UTBG","No","91.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"204-Kulg","204-Kulg","No","0.100000001","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"204_UTBG","204_UTBG","No","98.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"205-Kulg","205-Kulg","No","0.100000001","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"205P_UTBG","205P_UTBG","No","96.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"205_URM","205_URM","No","88.569999695","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"206_URM","206_URM","No","97.150001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"206_UTBG","206_UTBG","No","94.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"207_UTBG","207_UTBG","No","99.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"208_URM","208_URM","No","97.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"211_UTBG","211_UTBG","No","94.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"212_URM","212_URM","No","95.550003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"213_URM","213_URM","No","93.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"214_UTBG","214_UTBG","No","96.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"221_URM","221_URM","No","96.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"229_URM","229_URM","No","54.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"230_URM","230_URM","No","0","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"231_URM","231_URM","No","","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"234_URM","234_URM","No","91.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"235_URM","235_URM","No","93.650001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"236_URM","236_URM","No","96.550003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"25Р_URM","25Р_URM","No","55.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"26P_URM","26P_URM","No","38.849998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"26P_URM_FON","26P_URM_FON","No","59.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"27ПО_URM","27ПО_URM","No","61.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"27ПО_URM_FON","27ПО_URM_FON","No","52","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"29PO_URM_test","29PO_URM_test","No","22.700000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"29PO_URM_test_ESP","29PO_URM_test_ESP","No","6","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"300_URM","300_URM","No","95.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"301_URM","301_URM","No","94.25","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"302_URM","302_URM","No","91.5","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"307_SML","307_SML","No","85.099998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"310_SML","310_SML","No","92.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"312_SML","312_SML","No","59.799999237","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"42P_AR","42P_AR","No","89.949996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"44_AR_INJ","44_AR_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"500_URM","500_URM","No","","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"501_URM","501_URM","No","94.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"550_URM","550_URM","No","42.900001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"551_URM","551_URM","No","98.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"5_URM_INJ","5_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"761_URM_INJ","761_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"763_URM","763_URM","No","95.449996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"765_URM_INJ","765_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"766_URM","766_URM","No","94.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"767_URM_INJ","767_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"769_URM_INJ","769_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"770_URM_INJ","770_URM_INJ","No","100","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"801_URM","801_URM","No","58","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"802_URM","802_URM","No","73","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"803_URM","803_URM","No","12.56000042","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"804_URM","804_URM","No","61.400001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"805_URM","805_URM","No","3.599999905","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"806_URM","806_URM","No","34.200000763","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1002_AR","SB_1002_AR","No","38.599998474","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1105_AR","SB_1105_AR","No","85.949996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1105_AR_13","SB_1105_AR_13","No","83.25","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1111_AR","SB_1111_AR","No","95.050003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1211_AR","SB_1211_AR","No","91.199996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1217_AR","SB_1217_AR","No","85.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1224_AR","SB_1224_AR","No","64.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_1225_AR","SB_1225_AR","No","84.300003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_201_UTBG","SB_201_UTBG","No","91.800003052","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_208_UTBG","SB_208_UTBG","No","89.650001526","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_216_UTBG","SB_216_UTBG","No","80.699996948","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
"SB_47_AR","SB_47_AR","No","70","No_Emulsion_Corrections","Internal","","","","","1","2.5","14.100000381","0","0","","1","","","",""
