"","WELLNAME","FLUID","PROP_CORR","VISC_CORR","PVT_IS_MATCHED","OilBubpnt","OilSolgor","OilOilfvf","OilOilvis","GasZfact","GasGasfvf","GasGasvis","ConDewpnt","ConCgr","ConZFact","ConGasfvf","ConGasvis","OilBubpnt_p1","OilBubpnt_p2","OilBubpnt_sd","OilSolgor_p1","OilSolgor_p2","OilSolgor_sd","OilOilfvf_p1","OilOilfvf_p2","OilOilfvf_p3","OilOilfvf_p4","OilOilfvf_sd","OilOilvis_p1","OilOilvis_p2","OilOilvis_sd","GasZfact_p1","GasZfact_p2","GasZfact_sd","GasGasfvf_p1","GasGasfvf_p2","GasGasfvf_sd","GasGasvis_p1","GasGasvis_p2","GasGasvis_sd","ConDewpnt_p1","ConDewpnt_p2","ConDewpnt_sd","ConCgr_p1","ConCgr_p2","ConCgr_sd","ConZFact_p1","ConZFact_p2","ConZFact_sd","ConGasfvf_p1","ConGasfvf_p2","ConGasfvf_sd","ConGasvis_p1","ConGasvis_p2","ConGasvis_sd"
"205-Kulg","205-Kulg","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02283","38.9599","3.4E+35","0.97219","-11.1306","3.4E+35","0.585546","0.417107","1","0","3.4E+35","0.950003","-0.0311093","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"205P_UTBG","205P_UTBG","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"205_URM","205_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"206_URM","206_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"206_UTBG","206_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"207_UTBG","207_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"208_URM","208_URM","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"211_UTBG","211_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"212_URM","212_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"213_URM","213_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"214_UTBG","214_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"221_URM","221_URM","Oil and Water","Glaso","Beggsetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","11.6204","-3.23334","0.575166","","","","","","","","","","","","","","","","","","","","","","","",""
"229_URM","229_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"230_URM","230_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"231_URM","231_URM","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02505","112.789","3.4E+35","0.77487","-4.44963","0.069788","0.80433","0.21075","1","1.0E-8","0.0053252","1.05837","-0.010397","0.00025254","","","","","","","","","","","","","","","","","","","","","","","",""
"234_URM","234_URM","Oil and Water","Glaso","Beggsetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","11.6204","-3.23334","0.575166","","","","","","","","","","","","","","","","","","","","","","","",""
"235_URM","235_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"236_URM","236_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"25Р_URM","25Р_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"26P_URM","26P_URM","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"26P_URM_FON","26P_URM_FON","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"27ПО_URM","27ПО_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"27ПО_URM_FON","27ПО_URM_FON","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"29PO_URM_test","29PO_URM_test","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"29PO_URM_test_ESP","29PO_URM_test_ESP","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"300_URM","300_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"301_URM","301_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"302_URM","302_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"307_SML","307_SML","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.00324","5.03247","0","1.00864","-3.81407","0","0.869667","0.126449","1","1.0E-8","0","1.16675","0.220105","0","","","","","","","","","","","","","","","","","","","","","","","",""
"310_SML","310_SML","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.00324","5.03247","0","1.00864","-3.81407","0","0.869667","0.126449","1","1.0E-8","0","1.16675","0.220105","0","","","","","","","","","","","","","","","","","","","","","","","",""
"312_SML","312_SML","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.00324","5.03247","0","1.00864","-3.81407","0","0.869667","0.126449","1","1.0E-8","0","1.16675","0.220105","0","","","","","","","","","","","","","","","","","","","","","","","",""
"42P_AR","42P_AR","Oil and Water","Lasater","Beggsetal","Yes","","","","","","","","","","","","","0.964505","-181.202","3.4E+35","1.18207","-14.6828","3.4E+35","1.07217","-0.130993","1","0","3.4E+35","1.27947","0.0446738","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"44_AR_INJ","44_AR_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"500_URM","500_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00872","40.4997","0","0.86367","-60.8728","52.3861","1.00452","0.0315713","1","15.3879","0.0225674","19.5253","-5.80711","1.01318","","","","","","","","","","","","","","","","","","","","","","","",""
"501_URM","501_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"550_URM","550_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"551_URM","551_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"5_URM_INJ","5_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"761_URM_INJ","761_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"763_URM","763_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"765_URM_INJ","765_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"766_URM","766_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"767_URM_INJ","767_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"769_URM_INJ","769_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"770_URM_INJ","770_URM_INJ","Oil and Water","Glaso","Bealetal","No","","","","","","","","","","","","","1","0","3.4E+35","1","0","3.4E+35","1","0","1","0","3.4E+35","1","0","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"801_URM","801_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"802_URM","802_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"803_URM","803_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"804_URM","804_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"805_URM","805_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","1.00871","40.4947","0","0.906812","-80.6246","67.7534","0.941206","0.106811","1","8.73193","0.0262893","18.7691","-5.42558","1.06223","","","","","","","","","","","","","","","","","","","","","","","",""
"806_URM","806_URM","Oil and Water","Glaso","Bealetal","Yes","","","","","","","","","","","","","0.66137","-4966.09","0","9.08092","15.717","15.8596","1.04171","-0.00950924","1","8.62628","0.01799","-0.00961142","0.201233","0.492391","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1002_AR","SB_1002_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1105_AR","SB_1105_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1105_AR_13","SB_1105_AR_13","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1111_AR","SB_1111_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1211_AR","SB_1211_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1217_AR","SB_1217_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1224_AR","SB_1224_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_1225_AR","SB_1225_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_201_UTBG","SB_201_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_208_UTBG","SB_208_UTBG","Oil and Water","Standing","Beggsetal","Yes","","","","","","","","","","","","","1.02262","75.3425","3.4E+35","0.960174","-8.98183","3.4E+35","0.621577","0.381239","1","0","3.4E+35","1.89623","0.494258","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_216_UTBG","SB_216_UTBG","Oil and Water","Lasater","Beggsetal","Yes","","","","","","","","","","","","","0.964505","-181.202","3.4E+35","1.18207","-14.6828","3.4E+35","1.07217","-0.130993","1","0","3.4E+35","1.27947","0.0446738","3.4E+35","","","","","","","","","","","","","","","","","","","","","","","",""
"SB_47_AR","SB_47_AR","Oil and Water","Lasater","Petroskyetal","Yes","","","","","","","","","","","","","0.96446","-180.944","3.4E+35","1.1793","-13.8804","19.0568","1.08252","-0.14352","1","1.0E-8","0.0080396","1.79906","-0.40638","0.20024","","","","","","","","","","","","","","","","","","","","","","","",""
